,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
1001,1001,1033,63,Love at first fit,"Love the high waist, prewashed softness, and relaxed fit. i normally wear a 27 in pilcro but sized down to a 26. for the first time in ages i have a pair of jeans that won's slide down because of the high waistline. i would never tuck anything in so it doesn't matter that it's high waisted but i don't have to worry about them sliding down over my muffin top. worth every penny.",5,1,10,General Petite,Bottoms,Jeans
1002,1002,1033,49,Nice quality,"Nice jeans, but had to return. too tight in hips/thighs and big in waist.",4,1,0,General Petite,Bottoms,Jeans
1003,1003,936,35,Too much for this sweater,"Im 5'1"" and about 110lbs. ordered the small because i do have some curves- it was huge- more like a large and didnt have much structure at all. the wool was very soft and stretchy. and like others have said- kinda orange- not true coral color. it fit me like a throw blanket- its going back for sure. might purchase again if the petite xs is back in stock and on sale- this should def be under $100.",3,0,0,General,Tops,Sweaters
1004,1004,1094,30,,,5,1,0,General,Dresses,Dresses
1005,1005,936,35,Super comfortable but big,"I am 5'8 154 pounds and ordered a medium. the coat is a bit bigger than expected and should have gone down a size. i'm keeping this size however because it is incredibly comfortable, roomy and perfect for mild winters. the wool does keep you warm in 50 degree weather.",4,1,0,General,Tops,Sweaters
1006,1006,936,83,In love,"I saw this and tried to wait for it to go on sale, but it sold so fast, i wanted the black and i check everyday until they had my size, i love this coat main because of the wait it goes around the neck since i am not a scarf person, this is very cute, im glad i got it, even at the full price.",5,1,0,General,Tops,Sweaters
1007,1007,1047,67,Love. love. love,"These joggers are gorgeous--you can even dress them up! the quality and softness is amazing and very expensive looking. the fit is perfect not to mention the fact that they are very flattering.
really, i knew the minute i saw them, i would love them. but, i do have to say that the lovely model
wearing them ---the model with the wine colored shirt and the awesome red bag (i bought that too!!!)and that big smile sold me!. many thanks to retailer--personal stylists carolyn and blair. always so helpfu",5,1,4,General,Bottoms,Pants
1008,1008,1094,39,Warm,"I love sweater knit dresses and this the first one i've owned with a flare style that works. pattern placement is gorgeously done and is very slimming in a non-obvious way. i think the fabric is soft and warm. i wish the scoop neckline was a tad bit higher from a modesty standpoint. you may want to size down if you're not busty. i am 5'3"" and m petite was the perfect length on me. shout out to the reno distribution center for getting this amazing dress to me in 1.5 days?!?!?!!!",5,1,2,General,Dresses,Dresses
1009,1009,936,39,Owned in 3 sizes 3 colors all great,"I have this wonderful sweater coat in three sizes (s,sp,m) in the coral, green",5,1,0,General,Tops,Sweaters
1010,1010,936,71,,"Oh my goodness! i just received this coat tonight. i love it! it is beautiful and stylish. i got the green which is amazing. i'm 5'2"" - weigh 115. ordered both s and xs. i'm keeping the s - more room in case a heavier sweater. get this! it's a classic! you will smile!",5,1,3,General,Tops,Sweaters
1011,1011,1047,34,Strange and wonderful,"I wasn't sure what to expect with these pants. i couldn't figure out from the pictures what the material would actually be like. is it jersey? is it french terry? is it more traditional sweatshirt-type material? nope, turns out, they're like wearing pants made out of a fuzzy, flecked sweater. or like the thickest, loosest sweater-knit tights ever. surprise! they are the strangest pants i've ever owned, for sure, but i actually really like them. they're super comfortable and cozy warm. slightly i",5,1,0,General,Bottoms,Pants
1012,1012,1094,37,Bautiful lines,"This dress hung so nicely on my figure (small up top, bigger in the hips) that i couldn't pass it up. the lines are more flattering in person than in the photos. it might run a little small...i'm normally an extra small, but it was a little snug in the arms. however, the small was too big, so i would suggest sticking with your usual size. the saleslady said would stretch a little. i would have loved to try a petite, but the store didn't carry petite sizes. it will be my go-to holiday dress.",5,1,2,General,Dresses,Dresses
1013,1013,936,59,Best to try on in store,"I coveted this item since i first saw it on instagram. i finally bought it in coral. it's a beautiful coat, the color is lovely and i like the way the hood makes a cute collar when worn down. the only problem is it looks like a bathrobe on me. i am 5'5"" and wear a size 8. i bought a medium, worried a small would not button. the sleeves are far too long. i do not want to go through the trouble of returning, so gave it to my daughter who is four inches taller. it looks cute in her.",3,1,0,General,Tops,Sweaters
1014,1014,936,40,Cozy cut,Love this as a lightweight coat for cool to cold days. i love the squishy soft feel of the material. it works well with sweaters. love the deep pockets which works with my iphone plus and wallet. i love how simple and practical this coat is. the hood when not used as a hood makes a nice collar for the neck and head.,5,1,0,General,Tops,Sweaters
