,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
2001,2001,1083,38,Love this dress!!!,"I absolutely love this dress. i feel it's the perfect year-round piece. looks super cute with boots or booties. even with a cute baggy sweater over it. i am usually a small or medium, depending on brand. i'm a small with this one. and i actually like it worn without the button fastened in the back, it just worked better that way. it is not see-thru, though is a light material. i live in fl so i can wear year round. but up north, with tights and boots, you can too. so worth the price!",5,1,0,General Petite,Dresses,Dresses
2002,2002,1044,34,Recommended for certain body types,"Other reviews are correct. but this has potential to look as good as on the model - structure and quality of the cotton are very flattering. makes legs look miles long. however this fits very tight, allows no room for extra tummy, hips, booty, or thighs. i ordered a s (i'm usually a 4) - was able to get it on (step into it from the top), but felt a little self conscious about how tight the fit was. if there was an m, would have definitely sized up, as i really liked the look.",3,1,2,General,Bottoms,Pants
2003,2003,1022,33,Perfect flare,"I have been hunting for a pair of high rise flares that have significant width at the bottom and these are perfect. i love the vintage silhouette and how they make your legs look a mile long and i adore how they open wide enough to cover my shoes, not to mention being long enough for me to wear a 3.5"" heel and still skim the ground. for reference, i'm 5'8 140lbs with super long legs and straight athletic build. i sized up to a 30 which is usually for me in ag jeans so for the brand, they run tts",5,1,2,General,Bottoms,Jeans
2004,2004,1110,35,Excellent dress,"Beautiful, unique, colors perfect for winter. i received so many compliments at two holiday parties. and on sale, this is a no-brainer",5,1,0,General Petite,Dresses,Dresses
2005,2005,1083,43,Prettier in person,"The picture online doesn't do this pretty dress justice. i'm curvy, and always searching for dresses that don't make me look like a sack of potatoes. its pin tucks at the bust give it a little shape, and the print is much more vibrant in person. will look great with tights and a black blazer for dinners out.",5,1,0,General Petite,Dresses,Dresses
2006,2006,1080,83,Perfection !,"Received this dress yesterday, love it!
my initial hesitation in ordering this dress, even though it is my fav color....was rather bright for sept..
but loved it and decided to order and wear it next spring.
delighted to open the package and see that the dress is much darker than in the pics...more of a jade green.
it is still a summer fabric/style, however the darker color will be perfect for the warmer fall days ahead.
this dress is beautifully made, superior workmanship, and the fabric i",5,1,5,General,Dresses,Dresses
2007,2007,1095,53,In agreement with other reviewers...,"This is a beautiful dress with unfortunate design flaws at the bodice of the dress. the fit at hips and length is perfect, falling just to my knee (i'm 5'5"" 142 lbs.) and grazing my hips. in that regard the fit is spectacular. but the bodice seems cut very oddly, which would require tayloring to correct. the armholes are large and flared at the bottom which leaves 'wings' just under the arms that stick out. since this dress has a side zip, to correct that would seem a major undertaking. the stra",3,1,0,General Petite,Dresses,Dresses
2008,2008,1083,41,Soooo pretty,"This dress is sure to become one of my favorites! i ordered it online and the colors are even prettier in person; very vivid! it is a little light for the climate where i live right now but, i'm sure that as soon as it gets a little warmer i will be wearing it often. i can't wait!",5,1,0,General Petite,Dresses,Dresses
2009,2009,164,44,Review for fit only,"Nice but i thought these ran big. me: 28-29' waist, 36"" hips, athletic thighs. usually a medium in leggings but these size mediums were a bit baggy to my surprise. hoping to exchange for a size down as they are pretty, the ankle detail is fun and decently made.",4,1,0,Initmates,Intimate,Lounge
2010,2010,1083,56,So cute!,"I absolutely love this dress! i wore it with taupe tights and suede boots and got so many compliments. i have also worn it over leggings, and can see myself wearing it in the warmer months with sandals. even though the material is somewhat thin, i did not have to wear a cami with it. the fabric pattern is really cute!",5,1,0,General Petite,Dresses,Dresses
2011,2011,862,41,"Beautiful shade of pink, very low-cut","I bought the pink, which is a vibrant but not neon shade of deep reddish pink. love it. i love how the flutter of the sleeves is balanced with a slimmer fitting body, which keeps it from looking frumpy. i did order a size down to achieve this look. i prefer a more tailored look so this suits me while satisfying my desire for a little whimsy now and then. my only issue is that it's too low cut. trying to decide if i just need to wear it with a lower-cut bra or if this requires a cami. i hate laye",4,1,2,General Petite,Tops,Knits
2012,2012,862,23,,"I got the pink color, which is really vibrant and beautiful in person. this top is low cut, so if you don't like to show much cleavage plan to wear it over a cami.

i'm 5'5 145lbs, 37-29-39. got a size medium. it fits okay in the bust area, but is much looser than i would prefer below the bust. i will either return or exchange for a small to see if the fit is better.",4,1,3,General Petite,Tops,Knits
2013,2013,1134,42,,"I love sanctuary clothing. this parka is on the lighter side, good for this mild east coast winter. it is water repellent. the length hits me on my upper thigh and the sleeves are long ( good for longer limbs). i received many compliments.",5,1,4,General,Jackets,Outerwear
2014,2014,1110,36,,"Very flattering, not too short, beautiful. i'm 5.6, 36d, usually wear m in dresses, wide hips. the 8 fit very nicely.",5,1,0,General Petite,Dresses,Dresses
2015,2015,867,79,Very flattering!,"Finally a white top that is not see through! this tank is very form fitting and flattering, but does not hug too tight. i am neither large nor small breasted and love the way the v-neck fits on me. for reference, i am 5'2, 105#, 32c and i got the xxs.",5,1,0,General,Tops,Knits
2016,2016,862,66,A step up!,"Very pleasantly surprised by this top! it's looser, but in a flowy not baggy way. i ordered the m. the
vee is just right on me, tasteful but just low enough. love the sleeve length
ordered thinking another black tee , but it's going to be well used,and great for evenings.",5,1,0,General Petite,Tops,Knits
2017,2017,927,41,"Beautiful, soft and cozy","As one would expect from boucle, this sweater is incredibly soft, warm and cozy without being heavy. i fell in love with it when i first saw it and got it in white color. it's beautiful, goes with casual and work clothing (belt helps with the latter styling), and it didn't leave lint on the dark skirt i wore with it to work! i usually wear xs or s and found this sweater to be still roomy in xs, with sleeves being a bit long. i hope it won't stretch with wear as boucles sometimes do - that's my o",4,1,3,General Petite,Tops,Sweaters
2018,2018,63,33,Extra fabric,"There is a lot of fabric here! the legs fit me fine, but they are long and when you roll them up it creates a bunching of fabric in an awkward area. i've also found that they don't stay rolled up in the back, especially if you sit down. it's a shame since the fabric is soft and comfortable. maybe sizing down would've helped, but i doubt that would've fixed the problem of the cuffs staying rolled up.",3,0,0,General,Bottoms,Shorts
2019,2019,1095,29,Well made. beautiful colors,Gorgeous dress! fits true to size with high quality material. the colors are stunning.,5,1,3,General Petite,Dresses,Dresses
2020,2020,1022,21,Awesome pair of high waisted jeans,"These jeans are awesome! i usually wear a 26 in ag jeans as they tend to stretch, but i ordered a 27p because i am only 5'1 and these are a flare style. i have a small waist but a larger booty, and these jeans hug me in all the right places. they also have a great dark color and are super classy so you can dress them up if need be. the only thing i didn't like was the length. even with the petite size i have to wear wedges so they don't drag on the ground. but, this is an issue i have with most",4,1,6,General,Bottoms,Jeans
2021,2021,1110,56,One of the most beautiful dresses i have ever seen,"I purchased this dress online after two reviews and i am so glad i did. this is a work of art and beauty and will be my go to dress for spring and summer weddings, special occasions and other events. i am so glad the arms are covered with lace and flowers. this is spectacular.",5,1,1,General,Dresses,Dresses
2022,2022,867,31,,"Even on sale, this was just too pricey for what it is, which is a glorified tank. i liked the straps, but it hangs very wide off your chest.",2,0,0,General,Tops,Knits
2023,2023,1044,68,"Very cute, but impossible to put on","I wrote item ran large, but that was true only in length. it would be long for someone 5'10"" . however the bigger issue is getting it on. the style and quality are quite nice, but it does have some issues.",3,0,6,General,Bottoms,Pants
2024,2024,862,45,Cute top!,I'm either a medium or large in retailer tops. i was able to wear a medium in this top. the color is vibrant and the material is soft and light. it will be a great spring and summer top. can't wait to wear it.,5,1,1,General Petite,Tops,Knits
2025,2025,1075,37,Love it. stylish but comfortable and low key,This dress runs large so i sized down. when it arrived i looked at it and thought the fabric was ugly and boring for a dress. it sat there for about two weeks till i tried it on. i love it! it is so comfortable and is so cute how the pockets hang. all it need is some long necklaces or a scarf to complete the look. i get complements on it everytime i wear it. my only complaint is that it peels under the arms a little bit.,5,1,0,General,Dresses,Dresses
2026,2026,1095,32,Such a beautiful well fitting dress !,"This dress is amazing ! the colors in person are so vibrant and yet organic somehow at the same time. perhaps this is because the fabric has a really nice depth and texture to it. i got this dress for a summer wedding and it's casual yet dressy at the same time. 

re: fit - the best thing about this dress - is a fit ! it's so incredibly flattering on, it fits like a glove. it just hugs your figure in the most flattering way, especially if you have an hourglass figure. the fit is true to size -",5,1,12,General Petite,Dresses,Dresses
2027,2027,1083,36,Comfy and cute,"Love the pockets! fits loose, but lies nicely. comfy but able to be dressed up or down. great versatile dress.",4,1,0,General Petite,Dresses,Dresses
2028,2028,862,48,,This t-shirt does a great job of elevating the basic t-shirt in to one with a touch of flair. i typically wear a medium but luckily read earlier reviews and went with the small.,4,1,0,General Petite,Tops,Knits
2029,2029,1110,48,Absolutely gorgeous!,"I'm so happy to add this lovely and unusual dress to my fall wardrobe. i absolutely fell in love with it the moment i tried it on. i wear a two or four, depending on the designer, and the two fit me perfectly. another reviewer said it's special occasion only, but i like it so much, i'll wear it more often. with that said, it's a wonderful go-to dress for the holiday season.",5,1,5,General,Dresses,Dresses
2030,2030,1095,64,Very cute but...,"I ordered a 6p in this dress so it wld fall above my knees & be slightly smaller than a regular 6. sometimes a regular size 4 works, sometimes a 6. typically a regular size 6 is big on me. i am 5'3"", 118#, 36c. just recd the 6p in the mail. the first thing i noticed is that it's s a knit fabric that looks & feels like polyester although says 'cotton' on the inside label. i think it wld be a bit warm in hot weather, but that is just my observation. the main problem is that it is too big on each s",4,1,9,General Petite,Dresses,Dresses
2031,2031,1095,49,Weird fit,"I love the colors of this dress, and i waited for the sale since it isn't really good for work. i wear size 6 in hd all the time, but this one doesn't fit at all on the top. the bust is cut for someone really curvy, but the bottom is for someone really straight. i don't know what they were using for a model, but this has to be tried on before purchased. the material is also rough, and there is no lining to protect you from that. i love my hd dresses for style and functionality, but this one is j",2,0,0,General Petite,Dresses,Dresses
2032,2032,1083,37,Fun and flirty,"I love this dress! tried it on at the store. they only had medium. while i'm usually always a medium, it fit perfectly but pulled at the bust (i'm a 38). i ordered a large online the next day. i have it now and i am extremely pleased. the pattern is unique, the length falls just above the knee and has s sexy flirtiness to it. the back button is key as it gives some contour to the dress. the side pockets are an awesome touch. you can wear this dress any season. i'm wearing it with ankle boots and",4,1,0,General Petite,Dresses,Dresses
2033,2033,1079,47,Very well made - runs large!,"This dress is adorable and well made. this brand runs on the large side. i ordered an xs and the tag says 'p"" on it. it's not petite. it ran large through the hips and will need alteration. i'm keeping it because it is really cute and is well made. the material is knit and soft - very comfortable. i'm surprised nobody has reviewed this item. i probably will not buy this brand again only because it runs large.",3,1,1,General,Dresses,Dresses
2034,2034,1072,67,This dress is adorable!!,"This dress is so cute. i love that it has pockets. it looks great with sandels, and also ballet flats. it is airy, and run true to size. i wear a small, and it fit perfect. i even bought the other navy, and cream dress. you will wear this dress over, and over. just roll up the sleeves, and throw it on, and your ready. just love it!!!!",5,1,1,General,Dresses,Dresses
2035,2035,872,30,"Good concept, poor product","I loved the aesthetic but as a true hourglass shape, i was frustrated that it didn't have a little more give as i tried to pull it over my head. the fabric was stiff, and seemed to be lace over cotton? not entirely sure. i couldn't get past the feeling off the material.",2,0,0,General Petite,Tops,Knits
2036,2036,1072,55,"Great features:pockets,lace in front","I purchased the green print which has so many patterns and colors which makes this dress have a very interesting look. i love that it has a drop waist because it is so flattering to most body types.the other thing i liked was that this dress came in petite sizes, perfect for me.",5,1,1,General,Dresses,Dresses
2037,2037,815,60,,"I thought the quality of the fabric was good and liked the idea of wearing it, either with opening in front or back. it was a little larger then i was expecting and i wish it had a closure, (hook and eye or snap) at the top. it has three places in the back to tie together and when i tied them in a bow they came loose easily. overall glad i bought it.",3,1,0,General Petite,Tops,Blouses
2038,2038,1072,39,Tried it on a whim. love it.,"Went to the store in search of a butter dish. tried this dress on a was shocked at how comfortable, versatile and all over appealing this dress is. i'm 5'10"" and the medium hits at my knees.  as always i think the quality could be better. it's not something that will last for years.",4,1,0,General,Dresses,Dresses
2039,2039,862,53,Cute but....,"I saw this top on sale and tried it on right away. my normal medium was too big, so i purchased the small in the rose color. wore it with a shimmery kimono and cream colored pilcro boyfriend jeans. wow, what an outfit!!!!
then i washed it according to directions, and sadly it shrunk into a crop peplum tank. i was so disappointed. i wished i had read the reviews beforehand.",3,0,4,General,Tops,Knits
