,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
3001,3001,1082,69,Love it with a design change,"I purchased the dress on a promotion.  the dress i received had the sleeves end about the elbow.  i added a 4"" black cotton lace to the sleeves.  i love the result.  it makes the design richer and brings out the lace running down the front of the dress.  the sleeves are a much better length for me now.  dress runs tts.  i purchased a medium, am 5'7"", 150 lbs, really am large boned, straight up and down.",4,1,0,General,Dresses,Dresses
3002,3002,862,41,,"I loved this top when i wore it! it draped beautifully. i always snatch up all of bordeaux t-shirts because of the way they hang. but beware - you must dry this flat. i've always had no problem washing and drying their t-shirts, but this one shrunk up to half it's size the first time i washed it and is no longer wearable. it does say on tag lay flat to dry and they mean it!",3,0,0,General,Tops,Knits
3003,3003,999,49,So beautiful,"As the previous reviewer stated, this skirt is a stunner, can be worn in all four season. it's long and runs on the larger side. so that you compare, i'm 5'9"" and it goes all the way to the side of my foot. i'm 146lbs, 28 waist, 38 hips and always a medium on maeve, this skirt on a medium was too big for me, at least a size larger. take that into account when ordering. other than that it's a great purchase. can't wait for my exchange to arrive.",5,1,2,General,Bottoms,Skirts
3004,3004,999,47,The perfect maxi skirt,"This skirt has a more dusty black background than the website lets on, which i love. the floral pattern is delicate and subtle, and the tiers give this gorgeous skirt the perfect amount of flounce. it is so versatile! the quality is excellent. the skirt is fully lined. it will take me easily through three seasons (the weight of it might make it a bit too warm for summer). i'm so happy i bought this!",5,1,0,General,Bottoms,Skirts
3005,3005,1082,41,Sack like,I thought this would be cute with leggings based upon the length on the model. i forget that the models are almost 6 feet tall. this has a polyester slip goes under it that snaps onto the shoulders. it came down to my knees and was completely like a sack no leggings and boots with this one. lovely material but not at all figure flattering.,2,0,2,General,Dresses,Dresses
3006,3006,862,76,"Loved it, but...","I loved this shirt so much i bought it in 4 colors. however, two of them shrunk. i was very disappointed.",2,0,0,General,Tops,Knits
3007,3007,862,50,Buy one every color !,How can you go wrong with soft cotton top that is neither too snug nor too loose? expect will wear these as layers under when really cold and by them selves in early spring and in the fall. great colors and love the multiple textures.,5,1,0,General,Tops,Knits
3008,3008,1082,57,,"I just bought this dress in the store and i absolutely love it except for one thing. why are the sleeves on the actual dress so much shorter than the picture with the model? i suspect the model has long arms, not little t-rex arms, so why does the sleeve hit at the top of her wrist, while my lovely dress hits just past my elbow. it's a mystery. was the pictured item not what the store took delivery of? anyway, still a great dress, just trying to figure out if i should add lace or something to ma",4,1,14,General,Dresses,Dresses
3009,3009,862,31,Beware of care,"Let me start off by saying i never write reviews, but feel compelled to so that no one else gets swindled into buying this beautiful one-time wear piece. i absolutely fell in love with this shirt when i bought it in the fall in black... perfect basic to wear under my new draped open vest from retailer! and perfect fit! i'm long torso-ed and long armed and always have trouble with fit. this being kind of oversized was just loose enough and long enough i could actually feel comfortable wearing it wi",3,0,0,General,Tops,Knits
3010,3010,1082,57,"It's adorable, but...","This dress is absolutely beautiful! and, had it been just a little longer or a little shorter i would have kept it. but, the hem hit me at just the wrong spot! alas, i had to send it back :(",4,1,0,General,Dresses,Dresses
