,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
4001,4001,270,41,Gorgeous!,"This bikini is so gorgeous and fit me like a glove. i'm a true xs, bra size 34a. i ordered the small. this was more than worth full price!",5,1,0,Initmates,Intimate,Swim
4002,4002,860,27,Love it!,"I seriously love this top, and at the sale price it's a steal! i ordered the ivory color and it's just as beautiful in person as in the product photos. i thankfully read the reviews and knew that the sleeves would be slit. i think the slit sleeves add more interest to an otherwise basic blouse. it can be dressed up or down and is great for work (at least in my very casual office). the fit is perfect; i ordered my normal size medium and it's definitely true-to-size.",5,1,0,General Petite,Tops,Knits
4003,4003,895,48,Perfect fall/winter swearter,Fits perfectly! super soft and well-made! love the 3/4 sleeves and back drop. i can expect i will wear a lot in this coming fall/winter season in ca. highly recommend!,5,1,0,General Petite,Tops,Fine gauge
4004,4004,1094,54,Cute dress,I got this dress in neutral motif. looks very cute and the size is perfect.,4,1,4,General Petite,Dresses,Dresses
4005,4005,1094,67,Love it!,"I was a little hesitant to order this dress because of the a-symmetric hem. being very petite i thought it would be too bold for my small frame. i loved the colors though-- i ordered the one in red--and the the way the dress twirls and flows so i took a chance--and so glad i did!
the dress is beautiful and unusual and so very flattering. the top portion is of a heavier fabric,so no see through at all. the slanted cut of the white and tan portion is very slimming and flows beautifully into the r",5,1,5,General Petite,Dresses,Dresses
4006,4006,860,33,Fabric looks inexpensive,"The arm slits are actually subtle, and don't gape open. the chiffon type pleats are lovely, but the cotton material they overlay appears cheap and isn't dressy enough for my work.",3,0,0,General Petite,Tops,Knits
4007,4007,1094,29,,"This dress in the blue motif has a really flattering fit and look. the dress especially in this color, hides the belly area well and does not make you look wide if you are heavier in the bottom half. it is not too short and goes past my knee. i am 5'3'.'' the material is also really soft and the dress is easy to pull on.",5,1,2,General Petite,Dresses,Dresses
4008,4008,1056,23,Super cute pants!,I ordered these online. i usually wear a 4-6 depending on the brand. i ordered the 6 and love the way they fit as i didn't want them tight. they have a lot of stretch and the fabric is nice quality.,5,1,0,General Petite,Bottoms,Pants
4009,4009,257,48,Wonderfully soft jacket,"Love the asymmetrical zipper, style, fabric and color. so soft, comfy and warm. i got a size small and it fits perfectly and isn't tight or loose. the pockets are sewn shut but easily opened by cutting the thread with scissors. highly recommend this cute and functional jacket!",5,1,0,Initmates,Intimate,Lounge
4010,4010,895,20,"Lightweight, sheer sweater","I ordered this on line. pretty, but ran large so returning. i am 5'10"" and 140lbs., not large chested, and the m was too loose and looked frumpy. the sweater is a very soft, loose, knit that requires a cami underneath as it is slightly sheer. it was not quite as soft as expected for cashmere but good value at sale price.",3,1,1,General Petite,Tops,Fine gauge
4011,4011,895,76,Belt missing,"I ordered this quite nice cardigan. i received the sweater promptly (yay fast shipping!) but never received the belt to it. i tried emailing about it, but didn't get a response. the sweater really is the softest thing ever but it will not close without the belt and trying to use a different belt just doesn't work. i hope to receive the belt soon, because i'd really like to wear this a lot this winter.",3,1,1,General Petite,Tops,Fine gauge
4012,4012,1056,52,So comfortable!,"I fell in love with these cropped pants & first purchased a size 31 but realized that they do run true to size so i exchanged for a 30. i usually wear an 8-10 pant size.

i am so happy with these chinos!",5,1,0,General Petite,Bottoms,Pants
4013,4013,828,36,,"Very pretty and soft, love this designer. be warned it definitely runs large. it's supposed to be loose-fitting, but i ordered my normal size and it looked as though i was wearing my husband's shirt.",4,1,2,General,Tops,Blouses
4014,4014,1078,62,Patch work dress,"I love this dress .
perfect fit and very good quality.",5,1,3,General Petite,Dresses,Dresses
4015,4015,1094,27,"Stylish, professional, comfortable","I love this dress. wearing it is the equivalent as wearing your coziest t-shirt. there is stretch up top if your chest needs it, the neckline is modest, the stripes and geometric pattern are flattering and vibrant, but not gaudy in the slightest. the length is perfect with the shortest part at my knee. silhouette is tight at the natural waist and flares out in the most flowy and flattering way. i got the large. i am 5'7"" and fluctuate between 170 -185 lbs.",5,1,0,General Petite,Dresses,Dresses
4016,4016,1056,45,Awesome chinos,These chinos fit great! they are extremely comfortable and true to size but note that they do loosen up quite a bit with wear. i bought all 3 colors!,5,1,0,General Petite,Bottoms,Pants
4017,4017,1117,74,The outfit-maker,"I love lightweight coat-jackets, of which this is a great example. they effortlessly pull an outfit together and give real personality to simple staples. the unstructured linen, while indeed lined, gives this coat a casual drape for spring/summer. i see it paired with bright red joggers and a white t, with chambray or white linen pants, even as a chic beach cover-up. i un-tacked the cuffs to give the sleeves a simpler look, but it's decidedly day and casual as opposed to evening or work wear. fu",5,1,6,General Petite,Jackets,Outerwear
4018,4018,828,51,Wanted to love,I so wanted to love this top. i first ordered in the medium because previous reviews said it ran large. i got the medium and it ran so small in the arms that i could almost not get it off with ripping it. so i ordered an xl hoping that would work. unfortunately it ran just as small i'm the arms and i had to return.,3,0,0,General,Tops,Blouses
4019,4019,1056,53,Love the fabric,"I don't usually have the best luck with pants from retailer but something made me try these on. i am so glad i did! i love the fit and the fabric, they are so soft and comfortable.. i loved them so much that i bought an additional pair of the grey wanted the turquoise but they were sold out of my size so i settled on the sand... i will definitely try other styles of the pilcro.",4,1,0,General Petite,Bottoms,Pants
4020,4020,1094,47,Structure and flow,"This dress is so versatile. the knit top is nicely structured and the flowy skirt is forgiving and flattering. i bought the white, gray and poppy colored one, and i think it's smashing.",4,1,0,General Petite,Dresses,Dresses
4021,4021,1094,35,Clean and cute,"I love this dress. i got the coral, and it's clean and simple, but with visually interesting lines. the top is a slightly heavier, stretchy fabric (no zippers or closures), while the skirt is made of a lighter fabric that gives it a bit of flirty swing. the hem is also slightly a-symmetrical, which i didn't notice from the online pictures. it's a very comfortable dress that i could see being very versatile - dressed up for work, dressed down for daytime weekend wear, or even for date night. (i a",5,1,15,General Petite,Dresses,Dresses
4022,4022,1094,23,I need to try on the petite version,The regular length i tried on in store definitely didn't work for me. for reference in the photos i have a medium on and my measurements are 38-30-40.,3,1,3,General Petite,Dresses,Dresses
4023,4023,895,45,"Softest, most flattering sweater","I had been eyeing the maroon one and i snatched it as soon as it went on sale. when i pulled it out of the package, i could not believe how soft it was. literally, as a cloud. think of the softest, fluffiest baby blanket. also, the cut is extremely flattering. i am 5'7"", 135 lb and the medium fit me perfectly, flowing, but not boxy. love it!",5,1,0,General Petite,Tops,Fine gauge
4024,4024,895,31,,,5,1,0,General Petite,Tops,Fine gauge
4025,4025,1094,38,Beautiful light and versatile,"I love this dress - design, fabric, colors
currently wear it as maternity and it's super cute but it is my size and can't wait to wear it next spring/summer as a regular dress when i can show off a more slender waist. get compliments all the time. dress up w a pair of heels for a date night or dress down w flip flops :)
the fabric on the bottom wrinkles easily when gilded so not ideal for travel but that's a minor thing",5,1,0,General Petite,Dresses,Dresses
4026,4026,860,71,Useful top,"I love this, despite the split sleeves. the day it arrived i paired it with a black boucle midi skirt (from retailer) jewelry and mid high black slings and we to out to dinner with friends. several people complimented me so it must have looked as i'd hoped. i have worn it one other time with straight legged pants and a cashmere cardigan and felt comfortable and a bit more dressed up than usual slacks, jeans and shirts. it is soft, feminine and comfortable...the ubiquitous ""dress it up or dress it",5,1,0,General Petite,Tops,Knits
4027,4027,860,43,The sleeves.....,"I was aware of the split sleeves when i purchased-- hoping to try something new. they're not attractive. the slit stays open with any movement. i don't think it would be appropriate for work . overall the fit is true to size. i otherwise liked the design, but the sleeves made this a quick return ....",2,0,1,General Petite,Tops,Knits
4028,4028,895,44,Itchy and dull,When i returned this the salesperson asked what was wrong w it bc it keeps being returned. i got the black w the white collar/cuffs. i thought it was terribly itchy material (which could be remedied w a shirt underneath) but the white collar part was such a dull ugly white-dirty color. maybe the other colors are better?,1,0,1,General Petite,Tops,Fine gauge
4029,4029,1030,37,I ordered up 2 sizes,"I usually wear a 27 in ag and other designer jeans. i ordered a 29 based on the other reviewers. they fit like the model and look great. i might have been able to go with 28 if these end up stretching out, so i'm hoping they don't. they are nice and thick for white jeans, yet soft and comfy.",5,1,0,General,Bottoms,Jeans
4030,4030,1056,48,Love these pants!,Just received these pants today and i absolutely love them! the material is super soft and the fit is true to size! i ordered the tan color. i really like the wide leg and the frayed bottom!! i may order the gray too!,5,1,6,General Petite,Bottoms,Pants
4031,4031,860,22,Statement sleeves leave me timeless and trendy,"So the other review complained that there are slits on the sleeves of this blouse. yes, that is true. however, i love that about this blouse! i tried this blouse on in the store so the slits were not a surprise to me, but i can understand how they may upset a customer who wasn't expecting them. i think the slits are elegant and are in no way obtrusive or revealing. you could totally still wear this blouse to work or a nice dinner. i love it because its unique enough to be worn alone and simple i",5,1,18,General Petite,Tops,Knits
4032,4032,860,52,,"Bought this in navy. needed something comfortable, but able to dress up denim. this was perfect! wore it already and immediately got 2 complements. the only drawback was that the elastic in cuffs was a little too tight and my forearms are not large. bought in medium. i'm 5'8"" and 145 lbs. just washed it for first time. noticed that it dried a little wrinkly in front. may have to steam to get wrinkles out, but still worth it.",5,1,1,General Petite,Tops,Knits
4033,4033,1094,50,Oddly shaped.,"I thought i'd like this dress in the neutral color. i had to return it it as it was quite unflattering. the skirt made my hips look big and the uneven shape didn't help. the top fit well, in my usual 4 petite, i think it would look nice on some people, as it's something different but i am not one of those it worked on.",3,0,4,General Petite,Dresses,Dresses
4034,4034,1094,38,Not as nice in person,"The design looked super cute online, but in person, the material seemed cheap. actually, at least in the green one, the material is different in the striped and solid sections; if it had all been the striped material, it would have been much nicer.",3,0,25,General Petite,Dresses,Dresses
4035,4035,1094,36,Comfortable dress!,"I love this dress! i bought the blue one and i love the designs. i recently had a baby so my body is still recovering so finding clothes is a bit difficult, but this dress looks awesome and it makes me feel like how i was before i was pregnant! it flows nicely and is super comfortable.",5,1,0,General Petite,Dresses,Dresses
