,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
5001,5001,1068,47,Love these pants,"I have a couple of pair of hei hei pants from last summer that i love and was so happy to see these. i am curvy (5'8"" size 8) and got these in a 30 and they fit perfectly in the hips and no gap at the waist. i love them so much that i bought a second pair. the only thing that could make them better is if they had a bit of stretch.",5,1,0,General,Bottoms,Pants
5002,5002,562,32,Very nice skirt but too small,I would have liked it but it was too small for me.,4,1,1,General,Trend,Trend
5003,5003,868,61,,,5,1,0,General,Tops,Knits
5004,5004,1025,38,Fantastic fit and fabric,"I went to the store to buy the transcend verdugo ankle in blue. however,i left with it in blue and black. the black is perfect. absolutely amazing fabric that shapes your behind, and no ones is more imperfect than mine. i cant say enough about these except paige rocks! i'm a fan!!",5,1,5,General Petite,Bottoms,Jeans
5005,5005,945,40,,"What a let down. the sweater i received in no way resembles the product pictured. based on the original price point, i envisioned a beautiful hand-knitted sweater made of high grade yarn/ wool that i could use for travel. instead, i received something that is grossly oversized for xs/s, made out of weird crafting yarn and looks like an ugly holiday sweater. my kids could make something better than this on their toy loom. not the quality i expected from retailer. back it goes.",1,0,17,General Petite,Tops,Sweaters
5006,5006,831,60,Classic flannel,"This is a simplistic beauty. the colors are lovely and as pictured. i believe it is tts but if your small busted you could probably go down a size. i personally stayed with my small and i lke the flow of it. the flannel has a nice weight to it so you can wear this fall, winter and early spring if you live in a cooler climate.",5,1,1,General,Tops,Blouses
5007,5007,836,38,"Interesting blouse, some limitations","This blouse is basically a rectangular piece of fabric that is folded over and sewn up the sides. the side seams are about 2-3 inches in from the edge of the fabric. the neck opening is finished nicely. the fabric has a nice drape to it, but the design on the front isn't as crisp and clear as i thought it would be; the design is a bit fuzzy. so i wish the picture on the front were clearer. i always wear an xl in retailer tops, but the size l in this fit nicely in the bust except is too snug at the",4,1,9,General,Tops,Blouses
5008,5008,868,72,"All-around quality, but big","This is a top-flight notch: an attractive design, nicely made. for me, the fabric is rather heavy for summer wear, but that won't prevent me from keeping it for cooler days. my one complaint is the sizing. i weigh a bottom-heavy 146 lbs. and hoped i'd get away with a medium. but it swims on me...not ""a bit too large,"" but ""way too large."" i'm returning it and hoping that a small will be small enough.",4,1,4,General,Tops,Knits
5009,5009,831,34,,"This top is great and perfect for fall/winter. i've gotten a lot of wear out of this so far...great with jeans and sneakers for a casual look, or dress it up with black jeans and boots. great layering piece as well. the fabric is soft and comfortable. the fit is nice and relaxed, but tailored on the sides to give you some shape. the colors are beautiful.great buy, i highly recommend!",5,1,2,General,Tops,Blouses
5010,5010,675,49,,I was not going to purchase this jacket thinking it was too pricely but i am glad that i did. true to size and made with great craftsmanship. it looks very delicate but made strong. very pretty .... true too picture. it works out perfect for after yoga!,5,1,2,Initmates,Intimate,Lounge
5011,5011,1068,34,,"Love these pants, they do run small in the hip area and are not stretchy at all. so beware, if you are curvy, you might want to size up. great quality and style overall.",4,1,2,General,Bottoms,Pants
5012,5012,836,50,Pretty but sleeves make it seem large.,I lived the front and back designs but didn't like the fit.,3,0,1,General,Tops,Blouses
5013,5013,562,35,,"This is a beautiful and versatile skirt. i love the layered detail, length, and flattering cut. 

the fabric is a 80% cotton/20% linen blend. it's a thick weave with tiny nubs here and there. the skirt was made in turkey.

i usually wear a size 4 in retailer skirts, but i sized down to a 2 in this skirt. the size 2 fit at my natural waist and looked as pictured on the model, whereas the 4 looked bulkier on me,",5,1,10,General,Trend,Trend
5014,5014,562,25,Not as it seems,"I thought this would be a cute business attire skirt. i hate to say it, but i felt like it flared out as if i were amelia bedelia or some whacky children's book character and not retailer. the fabric made it look bulky. i sadly had to return it.",1,0,5,General,Trend,Trend
5015,5015,875,42,Scratchy,"Love the design of the fabric. i actually bought these in both colors. i gave only 1 star due stitching on the fabric, it's very scratchy.",1,0,0,General,Tops,Knits
5016,5016,1095,45,Beautiful dress!,"Beautiful dress! it looks fresh, feminine and the quality of the fabric is very nice.",5,1,0,General Petite,Dresses,Dresses
5017,5017,875,24,Perfect lightweight top,"I bought this in my usual size small (i'm a 4-6, 27"" waist, 32b), and it fits perfectly. it's a little loose and boxy but still structured and cute (it fits me like the model). i don't find it itchy at all, and the embroidery is just gorgeous. this is perfect for transitioning from summer to fall!",5,1,0,General,Tops,Knits
5018,5018,875,36,Cute summer top,"Picked this up end of season sale, but i go to florida a lot so i will still be able to use it. it runs a bit large. i'm usually between a s and m at retailer and i'm a bit heavy right now but the small fit loose and comfortably. i would recommend sizing down if you are between sizes. not itchy but i would wear a cami underneath because it is white and could start to itch after a while i suppose. it's definitely not a soft flowy t. mix of t-shirt material and linen. the main part of the t is cotto",5,1,0,General,Tops,Knits
5019,5019,1095,44,Beware of care instructions!,"I have wanted this dress since i first tried it on in april. finally got it as a birthday gift and after looking at it closely there was makeup on the collar. i checked the instructions and it says ""cold water wash"". so i washed only the collar part by hand and every part that got water on it bled!!! looks like the popsicles are melting! i'm so sad because this dress is adorable! i'm buying another in hopes retailer will make this right by taking back the first one. should be dry clean only!",2,0,4,General Petite,Dresses,Dresses
5020,5020,1095,53,Adorable,"Wanted to buy this dress, but the bust area was way too small. as i went up sizes, the torso began to be too long, and i would have to have it altered, i guess. what a shame.
but, if you are small chested, then this is your dress.",5,1,0,General Petite,Dresses,Dresses
5021,5021,334,58,L space ruched maillot,"I love the color and design of this suit, however, the rise is too high on my derriã¨re and was not appealing on myself! i am 5'7"" 110 lbs., with a very small bust and a short waist. i think the suit runs very small, as i am a size xs/s in most of retailers clothing. i would recommend it to young lady with a very small derriere and is more petite!",3,1,0,Initmates,Intimate,Swim
5022,5022,1059,37,High quality,"This cropped trouser is very high quality and perfect for summer. i ordered my usual size petite 4 (i am 5'2"" 115 lb) and i felt a little tight but since other previous reviews said they do stretch after wearing it, i decided to keep it. i hope they stretch out a little bit more. overall, i am very happy with my purchase.",5,1,3,General Petite,Bottoms,Pants
