,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
7001,7001,1078,46,Easy summer dress,"Comfortable and loose fitting- perfect for summer weekends when you just want an easy dress to throw on. can go from home to running errands to going out for lunch. good color, too!",5,1,0,General,Dresses,Dresses
7002,7002,862,50,Cute,"This top looked so cute on! i loved the color and the way it looked on my body. as cute as this looked tied, it could also be worn open as well with a tank top. loved it!",5,1,0,General,Tops,Knits
7003,7003,862,52,Comfy,This is a comfortable cardigan in a versatile color palette. size small fits a little snug in the shoulder area but other wise true to size. fabric is soft. great quality for the price!,4,1,0,General,Tops,Knits
7004,7004,862,43,Cute and feminine,Loved this sweater wrap and bought it in both colors. very light weight and i will get lots of use out of this. i wish retailer would have more pieces like this. a+,5,1,2,General,Tops,Knits
7005,7005,1078,68,,"This does run a little large, but it's light and flattering for me. the material is a very light/thin chambray, but it's also lined.",5,1,1,General,Dresses,Dresses
7006,7006,1025,38,,,5,1,0,General,Bottoms,Jeans
7007,7007,1199,31,Flowy and light,"This dress in orange is lovely. it's very light weight which i was slightly disappointed by, i prefer heavier dresses. but it'll be good for spring and summer. it still seems to be constructed well. i'm 5'8"" and 170 and the 8 i purchased is a little too tight. so i'm thinking it may run a little smaller than some other dress brands i have from retailer. 8 is usually my go to size. a 10 would have probably been perfect.",4,1,0,General Petite,Dresses,Dresses
7008,7008,641,52,,White and silver threads made fabric look grey. almost dirty. fit was nice and price is great. villa to pool to restaurant would be great. colored fabric would be better.,2,0,0,General Petite,Intimate,Lounge
7009,7009,912,50,Cute,"Bought this on a whim, cocoon sweaters usually do not work for me. this cardigan is very cute, more of a dark gray. if it they carry again, grab it!",5,1,0,General Petite,Tops,Fine gauge
7010,7010,862,38,,"The cascadia cardigan is a flattering piece that is perfect for fall. arms are longer, which i appreciate being 5'8"". the backside is on the shorter side. overall really love this piece.",4,1,0,General,Tops,Knits
7011,7011,641,48,Great for beach & summer holidays,I'm glad i tried this on in the store because it runs very large. i usually wear a large and i ended up buying a small. the blue color is very striking. i plan to use it as a cover up and sightseeing dress this summer.,4,1,0,General Petite,Intimate,Lounge
7012,7012,1078,43,This is gorgeous,"I think this fits to true to size. i am 5""2 and 107 lbs. i always wear a xs. it was a tiny bit tight in the bust if i wore a big padded bra (34b). if i wore a normal very little padding bra, it did not pull much across the bust.",5,1,1,General,Dresses,Dresses
7013,7013,862,34,Good light sweater,"I really like this top! excellent over a casual dress!! perfect for spring, summer and fall!",5,1,0,General,Tops,Knits
7014,7014,1094,47,Nice but not for me,Love the dress and went a size up as recommended by other reviewers. but it was still too small. it's just not roomy enough in the chest--total boob squash. had to return it.,3,1,0,General Petite,Dresses,Dresses
7015,7015,641,71,Just hangs there,"I tried this on in white and considered whether or not i wanted ""just another cover-up"". in the final analysis, even at $35 (30% off 49.99), it just hung there. if that's what you're after, then this is for you.",3,1,0,General Petite,Intimate,Lounge
7016,7016,932,39,Classic love!,"Love this little number. very flattering, warm, and soft. color goes with everything, i tried it on with a slip dress, and it added class and warmth... big button details are fun well-made and beautiful cut. i ordered xxs petite, and it fit like a glove, with room for something underneath if needed. i also ordered te xs petite, as my stylist was afraid xxs would be small, but will keep xxs p after actually trying it on.
115 lbs, 30dd, 26.5 in waist.",5,1,2,General,Tops,Sweaters
7017,7017,1094,27,Gorgeous dress!,This is a beautiful dress. the embroidery is really lovely in person. i find that this brand runs a bit small usually. i am usually an 8 but had to go up to a 10 to fit my hips. i am a little bit pear shaped so that might be why.,5,1,0,General Petite,Dresses,Dresses
7018,7018,641,55,Gorgeous,"This is an exceptionally soft and high quality coverup. i always look for a coverup that could double as a dress so that i can walk into a restaurant without feeling underdressed. i bought the white -- i always buy white it seems, but loved it so much, i came back for the blue. get this and live effortlessly this summer.",5,1,3,General Petite,Intimate,Lounge
7019,7019,1078,50,Cute,Dress is actually very cute - i like it better in person than online. the color is a very pretty deep denim blue color. it is cut very roomy/swingy. length is a bit too long in the back for my taste but still like the way it flows. i am very slight of frame and on me there is a lot of extra material but nothing a good tailor can't fix in a jiffy. perfect for a summer day/bbq or casual party.,4,1,0,General,Dresses,Dresses
7020,7020,641,46,Perfect summer dress,"The softest cotton gauze but, not see through. relaxed but, the sleeves & neckline make it flattering. a gorgeous blue in person. so in love with this dress, going back for it in white!",5,1,12,General Petite,Intimate,Lounge
7021,7021,862,48,Love this cardigan,"This is one of my favorite pieces. simple, classy, and cozy!",5,1,0,General,Tops,Knits
7022,7022,1022,25,"Great pants, but found the sizing varied","I've purchased these in the past and found that they wear well, so i came back for some new colors this year. i ordered blue, holly (a deep olive-y green), and grey to try, and found that they all fit slightly different. the navy fit me perfectly in a size 27 (i'm 5'4"", 120 lbs), but the holly cords were tight in the legs, and i couldn't button the top. the grey was somewhere in between. i also felt like the grey showed more lumps and bumps. the navy is super flattering.",4,1,0,General,Bottoms,Jeans
7023,7023,641,47,Just okay,"I tried this on at my local retailer store in the white. the fabric is pretty with metallic threads of silver running through the white. the white is see-through but that didn't bother me as i would wear it as a beach cover-up. i would say it runs large. i am usually a size small (4-6) and the xs was quite roomy on me (and i'm 5' 9"" tall), 32d chest. i liked it, it was comfortable, but i just couldn't decide if i looked a bit frumpy in it. maybe it was just too big all over. in the end, i d",4,1,10,General Petite,Intimate,Lounge
7024,7024,926,78,Not for me!!!!,Unique jacket..... but when i put it on i felt and looked like charlie brown. this will be going back.,2,0,4,General,Tops,Sweaters
7025,7025,641,35,,"I thought this dress would be a cute beach cover up so i was excited to order it but i was very disappointed. i am 5'7 and i usually wear a size small top and 4 dress so i ordered a small in this dress but it was huge!! i understand that it is not meant to be form fitting and i wasn't expecting it to be but when i tried this on i felt like i was wearing a potato sack. i feel like an extra small would have been just as bad. i was so upset. it also has thin silver lines through it which, for me, m",1,0,0,General Petite,Intimate,Lounge
7026,7026,871,33,Roomy and flows,"Comfortable and flows well, does run large, order one size smaller.",5,1,0,General Petite,Tops,Knits
7027,7027,862,69,Not impressed,I'm too tall for this. back goes halfway up my back. cannot do much with it other than front tie. fabric is not soft at all. not impressed. returned it.,2,0,0,General,Tops,Knits
7028,7028,1078,67,Gorgeous,"This is truly a lovely dress. the colors are beautiful and i love the contrasting but complimentary fabrics which add interest to an already elegant dress. the material is substantial without being stiff so that it flows gracefully and it flatters the figure.
in my opinion if fits true to size, i'm 32b, 5' and 103lbs and i got it in a 2p which is the size i normally get in dresses. it is slightly more loose than other retailer dresses in the same size but it still follows your curves without being",5,1,0,General,Dresses,Dresses
7029,7029,862,41,Soft fabric,"Love this versatile cardigan, have both blue & orange colors & they're beautiful. it's light weight yet cozy. true to size but the sleeves are a little snug so if you like roomier sleeves size up.",5,1,0,General,Tops,Knits
7030,7030,1022,36,Mid-rise is comfy and flattering,"I love ag stevie cords! i'm 5'4 and pear-shaped and the 26p fit great, the length and mid-rise are perfect! very comfortable and can be dressed up for casual work environment or down for weekend. the material is a bit thinner and not as soft as versions from previous years but still very nice and perhaps more versatile. wish petite had more color options.",5,1,1,General,Bottoms,Jeans
7031,7031,1078,53,Gorgeous shift!,"I love it. perfect, body hugging, just right length and great fabric colors. this shift fits just above knee and follows every curve. it is, however, unforgiving-there is no room in this to cover bumps or bulges; it is sleek and so figure-flattering. i am 140 lbs, 5'5 tall and 34d and it fits perfectly. one more pound and it wouldn't have zipped! i got a size 6 (my usual)!but too tight had to size up to 8. if you are on the fence, go up a size. i can't, however, imagine wearing this sleeveless a",5,1,1,General,Dresses,Dresses
7032,7032,1094,49,"Sadly, not for the curvy","This dress is really beautiful. very well made and high quality fabrics. unfortunately, it is cut very narrow. i am between sizes, ordered up and still felt like it was at least a size too small. i think if you have any curves in your midsection that this dress is going to be a challenge. if you are lean and straight then this will look great on you.",3,1,11,General Petite,Dresses,Dresses
7033,7033,1078,49,Versatile dress!,Easy to take this dress from casual to dressy! super comfortable and cute!,5,1,1,General,Dresses,Dresses
7034,7034,1094,29,Runs a bit large,"Debated for a while about this dress...love the flower embroidery but i was worried the nude colored top would look drab on. it actually looks nice on my skin (tan-ish, yellow toned), surprisingly. however, there is a noticeable amount of extra room in the waist (i have a 24'' waist. it wrinkles a bit in that area when i move around. i'm not sure if that's a deal breaker or not...i guess now i have even more to debate about. the length is a tiny bit longer on me than on the model #5'0'', 100 lbs",4,1,1,General Petite,Dresses,Dresses
7035,7035,1078,44,Not for the curvy gal,I love this dress but when i put it on i was aghast! the chest was tight and the body was voluminous!! added the pounds which no wants! best left to the waify girls.,3,0,1,General,Dresses,Dresses
7036,7036,862,63,Perfect all seasons,"This cardigan is light weight and can be used for all seasons. additionally, you can wear it tied in the front or down for a cascade look. can be worn for the office or with jeans. love this little good for everything closet staple!",5,1,0,General,Tops,Knits
7037,7037,862,55,Similar but not quite as amazing as a similar one,"I don't like how short it is in the back.
i also prefer a solid vs. slubby material, 
back it goes.",4,1,0,General,Tops,Knits
7038,7038,1022,38,Buyer beware!,"These pants were wonderful...for 2 seasons. yes, for almost $200 a pop they don't even last a full year! loved them so much, i bit the bullet & bought 4 pair. all 4 started to rip in the same spot! i tried to contact ag directly & they do not back up their products after 30 days. fortunately, retailer was wonderful (as always!) i will buy pilcro from now on - much better product for the money.",1,0,0,General,Bottoms,Jeans
7039,7039,1022,40,Sizing varies,"I&#39;m 5&#39;3&quot; 118 lbs and the 26 navy fit great.  the gray i can hardly button and are less flattering.  i will order another size 26 in gray to see if it will fit better, but also try a 27.",4,1,0,General,Bottoms,Jeans
7040,7040,1078,32,Easy breezy,"Love this dress! it is tighter in the chest area than maybe expected, but not unwearable, though i am smaller chested. it will be great for hot summer days as it has a light lining.",5,1,0,General,Dresses,Dresses
7041,7041,641,24,"Lovely dress, but runs huge!","The materical is wonderful and light and the color is gorgeous, but the large was absolute gigantic. i'm returning it and sizing down possible to a small, which is unreal, since i wear a size ten normally! i am petite, height-wise, but more than length, there was just so much room width-wise. it swallowed me! the dress itself is lovely, though, so i'm definitely exchanging for a more reasonable size. but definitely size down!",4,1,3,General Petite,Intimate,Lounge
7042,7042,932,33,So cute and warm!,"I typically wear xs or s, or zeros but i got this in a m.  it doesn't look big, it looks like a regular fit to me i think a small or xs would have looked and felt small.  it's soft beautiful and warm.  the hood is so cute.  the detail is just so good.  i love it over top of 2 long sleeve blouses i got there and one of the cloth and stone button downs.",5,1,8,General,Tops,Sweaters
7043,7043,862,49,,,4,1,0,General,Tops,Knits
7044,7044,1094,35,Dress saga,"So.. i saw this dress like a month ago and i fell in love. utter i-have-to-have-it love. before dropping $200 superfast, i gave myself some time to think it over. well, of course i decided to order it, and of course my size was sold out. most of the sizes were sold out, actually. they did have a petite left, so after i dried my eyes, i decided to wing it. the petite actually fit. the mid section is a little snugger than i am normally comfortable with (although the top is so structured that it ac",5,1,4,General,Dresses,Dresses
7045,7045,641,52,Pretty cover up,Ordered this cover up in a mp but it was waaay too big so now waiting for the sp to arrive! hope its a hit!,4,1,8,General Petite,Intimate,Lounge
7046,7046,1094,25,Great dress,"Very cute, and well made. fits true to size.",5,1,1,General,Dresses,Dresses
7047,7047,862,49,Cardigan,"I was on the fence about this cardigan. once i got it in the mail, it's cute! it will go great with a long tank or longer t-shirt. worth the sale price! i ordered a small and is true to size.",5,1,0,General,Tops,Knits
7048,7048,932,66,Don't size up,"Following another reviewer's advice, i ordered up to an xl. it's huge. stick with your normal size or go down one. it's a one of a kind piece. soft, lightweight, yet cozy and adorable. sadly have to return mine.",4,1,0,General,Tops,Sweaters
