,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
8001,8001,1092,25,,"I am so in love with this dress. i think it is made of high quality fabric and very well designed. i am 5'6"", about 145lbs, 34d and the 4 fit perfectly! i bought it for my upcoming bridal shower and could not be more excited to wear it!!",5,1,3,General Petite,Dresses,Dresses
8002,8002,396,45,"Cute, but....","I like the retro look but these seem to run large to me.  i get they are ruched on the sides.  yet, the bottom has a saggy look.  i got the large but i feel like i should have gotten the medium to fill out the bottom. i already took the strip out and washed so i'm keeping them.  very cute with a bikini top.  maybe i just need a bigger butt.",4,1,0,Initmates,Intimate,Swim
8003,8003,1092,32,Beautiful dress,"I've been waiting for this dress to come back in stock and when it finally did i got it in the size 2. i'm typically a 2 or 4 in dresses and the 2 fits perfect. for reference i'm 5'6, 34c, 130lb. i think it runs on a larger size because it's a shift dress. i would recommend sizing down. a great white dress to wear to my rehearsal dinner!",5,1,0,General Petite,Dresses,Dresses
8004,8004,877,60,Perfect!,"This is one of my favorite purchases ever-from anywhere! one of my new years resolutions was to stop wearing work out clothes all of the time. this is as comfortable as any work out jacket and looks classy. can be dressed up or down. its warm, flattering and unique.",5,1,1,General Petite,Tops,Knits
8005,8005,1006,22,Dissapointed:(,The material looked much nicer in the online picture. also- there are pockets which added a bulk to it that was not flattering on me.,3,0,2,General,Bottoms,Skirts
8006,8006,939,49,,"I thought the sweater itself was beautiful, but found the fabric to be stiff and itchy.",2,0,2,General Petite,Tops,Sweaters
8007,8007,862,37,"Simple, fun, edgy","This is a great staple top for your closet. its tremendously soft, a bit oversized, and drapes really lovely. in store there were also striped styles available, but i love the emerald green. the colors are absolutely perfect and will transfer well into any season! my only issue with this top (which inevitably is the reason i decided not to purchase) is the dolman sleeve. i'm al xl on top...so i'm never looking for extra width in anything i wear. the dolman sleeve really only looks right on me if",4,1,4,General,Tops,Knits
8008,8008,1099,36,Staple!,This dress is a staple. if you don't feel like getting too dressed up and want to be comfortable. this is it. will be great for travel as well. i like to pack light. so i look forward to traveling with this dress.,5,1,0,General Petite,Dresses,Dresses
8009,8009,1099,33,,,5,1,0,General Petite,Dresses,Dresses
8010,8010,1103,29,Beautiful summery dress,"This dress is really lovely. if fits and flows in a very flattering way although it is a bit long (i'm really tall so that's a very nice feature for me :p) it actually feels more linen-y than i expected to which was surprising, (i probably didn't read the product description close enough) but it was a pleasant surprise. can't wait to wear this to brunch/beach parties this summer! fair warning, it's also a little see-through - might want to wear nude underwear ;)",5,1,4,General,Dresses,Dresses
8011,8011,1022,41,Super flattering!,"I really love these jeans! this is my second pair of ags and they're so comfortable. i will say that these jeans are super long! i have long legs and it takes a 3 inch lift from my shoes to get them to hit correctly. if you're short, you can expect to get them hemmed. the high waist is great! size down in ag because they tend to stretch and being high waisted they for differently!",5,1,2,General,Bottoms,Jeans
8012,8012,1099,26,"Flattering, vintage feel","Love this dress! it is very flattering and makes my waist look tiny. i don't care for the hem. it isn't terrible, but i wish it was cut straight across instead of curved at the bottom. i'll probably have it altered. comfortable, great for the office.",4,1,1,General Petite,Dresses,Dresses
8013,8013,1092,29,Very straight,I wanted this dress to work so badly but if you have any chest or any hips this won't work for you. i tried in petites and regular and it just didn't work at all,3,0,0,General Petite,Dresses,Dresses
8014,8014,939,36,Beautiful sweater!,"I fell in love with this sweater as soon as i saw it in the store. runs tts. the medium fit perfect. i am 5'10, 160lbs.
very versatile...can wear with jeans or dress up with all black.",5,1,1,General Petite,Tops,Sweaters
8015,8015,862,28,,"This shirt runs large in my opinion. i wish i would have sized down to a xs but maybe it will shrink a little when i wash it. its a great shirt, good quality and i'm very happy i got it.",5,1,0,General,Tops,Knits
8016,8016,1104,39,Not for my body,"Lovely dress that i recommend, just not for those with my body type.  i'm broader and rounder on top so i assumed the vertical stripes would slim me down.  from the front everything is awesome--from behind it was less flattering.  made my flat bum look flatter.  also the stripe patterns do not match at the break.  other than that the quality is fantastic, the fabric is a great transitional weight, the fit is comfortable, and the style is classic.",4,1,2,General,Dresses,Dresses
8017,8017,1099,29,Perfect transition dress,"I love this dress! i was actually able to fit in a l versus my usual xl due to the style of the dress. a bigger chest person (i'm a d) may not find the dress as well fitting as i do. overall great fit can easily dress it warm with a scarf, boots, hat or best. a great dress for fall-spring",5,1,4,General Petite,Dresses,Dresses
8018,8018,1092,64,The perfect spring dress!,"Love love love this dress! the fit is amazing and is slimming. although the lace is delicate looking, it wears well.",5,1,1,General Petite,Dresses,Dresses
8019,8019,1104,26,I love this!,"Got this for my daughter who lives out of town. i plan on bringing it to her during my next visit. i love it! the style is up to date and pretty. it's a perfect dress for almost any occasion! i'm hoping it will fit her, but the sizing looks right to me and the quality is great!",5,1,0,General,Dresses,Dresses
8020,8020,1099,33,,"This dress is very flattering and has wonderful movement, i'm so happy that it went on sale! definitely worth it!",5,1,0,General Petite,Dresses,Dresses
8021,8021,1099,34,Super soft but can make you look frumpy,"Dress is silk? it's soft and pretty. it's blue so you can wear brown or blue suede boots!
i caught my reflection a few times and thought i looked really bottom heavy. dress is awesome. worth it.",5,1,0,General Petite,Dresses,Dresses
8022,8022,1099,48,Perfect,"Loose fitting and comfortable without losing its shape. 
looks great on. the tie in front adds to the dress. 

i love to wear with tan knee-high boots.",5,1,0,General Petite,Dresses,Dresses
8023,8023,862,64,"Cute top, but...","Just recd the neutral & navy in the size s, my usual size in tops at retailer. just a heads up - it's way oversized under the arms. in the fashion world probably falls under the category of a dolman style sleeve. also the fabric is nubby like/pilled look. similar fabric is the 'warm-up pullover' that i recently saw at the store. i have a feeling this may be a new trend. if you are ok w/ the oversized underarms & nubby fabric then order up. if hesitant, wait & visit the store... i love the look of",4,1,12,General,Tops,Knits
8024,8024,868,35,,,4,1,0,General,Tops,Knits
